instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category
10562,2012-03-21,Summer,1,3,4,0,3,1,Cloudy,0.5,0.4848,0.88,0.1343,0,4,4,Off-peak/Night
10563,2012-03-21,Summer,1,3,5,0,3,1,Cloudy,0.5,0.4848,0.88,0.1343,4,35,39,Off-peak/Night
10564,2012-03-21,Summer,1,3,6,0,3,1,Cloudy,0.48,0.4697,0.94,0.2239,10,139,149,Morning Peak
10565,2012-03-21,Summer,1,3,7,0,3,1,Light Rain/Snow,0.48,0.4697,0.94,0.194,34,338,372,Morning Peak
10566,2012-03-21,Summer,1,3,8,0,3,1,Light Rain/Snow,0.48,0.4697,0.94,0.1045,33,502,535,Morning Peak
10567,2012-03-21,Summer,1,3,9,0,3,1,Cloudy,0.5,0.4848,0.88,0.1642,38,255,293,Morning Peak
10568,2012-03-21,Summer,1,3,10,0,3,1,Cloudy,0.52,0.5,0.83,0.1642,30,124,154,Morning Peak
10569,2012-03-21,Summer,1,3,11,0,3,1,Cloudy,0.52,0.5,0.83,0.1642,38,154,192,Mid-day
10570,2012-03-21,Summer,1,3,12,0,3,1,Cloudy,0.54,0.5152,0.77,0.0,58,171,229,Mid-day
10571,2012-03-21,Summer,1,3,13,0,3,1,Cloudy,0.54,0.5152,0.83,0.0,81,222,303,Mid-day
10572,2012-03-21,Summer,1,3,14,0,3,1,Cloudy,0.56,0.5303,0.78,0.0,74,151,225,Mid-day
10573,2012-03-21,Summer,1,3,15,0,3,1,Cloudy,0.56,0.5303,0.78,0.0,68,175,243,Mid-day
10574,2012-03-21,Summer,1,3,16,0,3,1,Clear,0.58,0.5455,0.73,0.0,91,287,378,Evening Peak
10575,2012-03-21,Summer,1,3,17,0,3,1,Clear,0.6,0.5909,0.69,0.0896,113,616,729,Evening Peak
10576,2012-03-21,Summer,1,3,18,0,3,1,Clear,0.6,0.5909,0.69,0.0,152,627,779,Evening Peak
10577,2012-03-21,Summer,1,3,19,0,3,1,Clear,0.6,0.6061,0.64,0.0,86,496,582,Evening Peak
10578,2012-03-21,Summer,1,3,20,0,3,1,Clear,0.56,0.5303,0.78,0.0896,76,298,374,Evening Peak
10579,2012-03-21,Summer,1,3,21,0,3,1,Clear,0.54,0.5152,0.83,0.1045,47,204,251,Off-peak/Night
10580,2012-03-21,Summer,1,3,22,0,3,1,Clear,0.52,0.5,0.83,0.1642,41,156,197,Off-peak/Night
10581,2012-03-21,Summer,1,3,23,0,3,1,Clear,0.54,0.5152,0.77,0.0,37,88,125,Off-peak/Night
10582,2012-03-22,Summer,1,3,0,0,4,1,Clear,0.52,0.5,0.83,0.0896,9,32,41,Off-peak/Night
10583,2012-03-22,Summer,1,3,1,0,4,1,Clear,0.52,0.5,0.83,0.0896,14,16,30,Off-peak/Night
10584,2012-03-22,Summer,1,3,2,0,4,1,Clear,0.52,0.5,0.83,0.0896,1,5,6,Off-peak/Night
10585,2012-03-22,Summer,1,3,3,0,4,1,Clear,0.52,0.5,0.83,0.0896,0,7,7,Off-peak/Night
10586,2012-03-22,Summer,1,3,4,0,4,1,Cloudy,0.48,0.4697,1.0,0.0896,0,6,6,Off-peak/Night
10587,2012-03-22,Summer,1,3,5,0,4,1,Cloudy,0.48,0.4697,1.0,0.0896,2,32,34,Off-peak/Night
10588,2012-03-22,Summer,1,3,6,0,4,1,Cloudy,0.48,0.4697,1.0,0.0896,10,126,136,Morning Peak
10589,2012-03-22,Summer,1,3,7,0,4,1,Cloudy,0.48,0.4697,1.0,0.0896,29,332,361,Morning Peak
10590,2012-03-22,Summer,1,3,8,0,4,1,Cloudy,0.5,0.4848,0.94,0.0896,51,598,649,Morning Peak
10591,2012-03-22,Summer,1,3,9,0,4,1,Cloudy,0.5,0.4848,0.94,0.0896,41,277,318,Morning Peak
10592,2012-03-22,Summer,1,3,10,0,4,1,Cloudy,0.5,0.4848,1.0,0.0896,32,110,142,Morning Peak
10593,2012-03-22,Summer,1,3,11,0,4,1,Cloudy,0.52,0.5,0.94,0.0,53,166,219,Mid-day
10594,2012-03-22,Summer,1,3,12,0,4,1,Cloudy,0.54,0.5152,0.88,0.194,48,224,272,Mid-day
10595,2012-03-22,Summer,1,3,13,0,4,1,Clear,0.58,0.5455,0.78,0.0896,83,215,298,Mid-day
10596,2012-03-22,Summer,1,3,14,0,4,1,Clear,0.6,0.5909,0.73,0.1045,96,161,257,Mid-day
10597,2012-03-22,Summer,1,3,15,0,4,1,Clear,0.62,0.6061,0.69,0.194,102,202,304,Mid-day
10598,2012-03-22,Summer,1,3,16,0,4,1,Clear,0.64,0.6061,0.65,0.194,125,300,425,Evening Peak
10599,2012-03-22,Summer,1,3,17,0,4,1,Clear,0.66,0.6212,0.65,0.1642,154,656,810,Evening Peak
10600,2012-03-22,Summer,1,3,18,0,4,1,Clear,0.66,0.6212,0.65,0.1642,147,654,801,Evening Peak
10601,2012-03-22,Summer,1,3,19,0,4,1,Clear,0.66,0.6212,0.61,0.0,117,469,586,Evening Peak
10602,2012-03-22,Summer,1,3,20,0,4,1,Clear,0.62,0.5909,0.73,0.2836,64,360,424,Evening Peak
10603,2012-03-22,Summer,1,3,21,0,4,1,Clear,0.58,0.5455,0.78,0.1642,66,308,374,Off-peak/Night
10604,2012-03-22,Summer,1,3,22,0,4,1,Clear,0.56,0.5303,0.83,0.194,56,164,220,Off-peak/Night
10605,2012-03-22,Summer,1,3,23,0,4,1,Clear,0.56,0.5303,0.83,0.0896,34,117,151,Off-peak/Night
10606,2012-03-23,Summer,1,3,0,0,5,1,Clear,0.56,0.5303,0.83,0.0,30,65,95,Off-peak/Night
10607,2012-03-23,Summer,1,3,1,0,5,1,Clear,0.54,0.5152,0.88,0.0,18,32,50,Off-peak/Night
10608,2012-03-23,Summer,1,3,2,0,5,1,Clear,0.54,0.5152,0.88,0.0896,12,20,32,Off-peak/Night
10609,2012-03-23,Summer,1,3,3,0,5,1,Clear,0.52,0.5,0.88,0.1045,4,6,10,Off-peak/Night
10610,2012-03-23,Summer,1,3,4,0,5,1,Cloudy,0.5,0.4848,0.94,0.1045,0,3,3,Off-peak/Night
10611,2012-03-23,Summer,1,3,5,0,5,1,Cloudy,0.5,0.4848,0.94,0.0,5,29,34,Off-peak/Night
10612,2012-03-23,Summer,1,3,6,0,5,1,Cloudy,0.5,0.4848,0.88,0.0,6,110,116,Morning Peak
10613,2012-03-23,Summer,1,3,7,0,5,1,Cloudy,0.5,0.4848,0.93,0.1343,28,318,346,Morning Peak
10614,2012-03-23,Summer,1,3,8,0,5,1,Cloudy,0.5,0.4848,0.94,0.1343,47,615,662,Morning Peak
10615,2012-03-23,Summer,1,3,9,0,5,1,Cloudy,0.52,0.5,0.9,0.0896,75,305,380,Morning Peak
10616,2012-03-23,Summer,1,3,10,0,5,1,Cloudy,0.56,0.5303,0.88,0.1045,125,150,275,Morning Peak
10617,2012-03-23,Summer,1,3,11,0,5,1,Cloudy,0.62,0.5909,0.73,0.1045,131,187,318,Mid-day
10618,2012-03-23,Summer,1,3,12,0,5,1,Cloudy,0.66,0.6212,0.61,0.2239,199,272,471,Mid-day
10619,2012-03-23,Summer,1,3,13,0,5,1,Cloudy,0.7,0.6515,0.48,0.0,172,256,428,Mid-day
10620,2012-03-23,Summer,1,3,14,0,5,1,Cloudy,0.72,0.6515,0.42,0.1045,208,224,432,Mid-day
10621,2012-03-23,Summer,1,3,15,0,5,1,Cloudy,0.72,0.6515,0.42,0.1343,191,281,472,Mid-day
10622,2012-03-23,Summer,1,3,16,0,5,1,Cloudy,0.72,0.6515,0.42,0.1642,219,370,589,Evening Peak
10623,2012-03-23,Summer,1,3,17,0,5,1,Cloudy,0.72,0.6515,0.42,0.1642,264,693,957,Evening Peak
10624,2012-03-23,Summer,1,3,18,0,5,1,Clear,0.7,0.6364,0.45,0.1642,237,593,830,Evening Peak
10625,2012-03-23,Summer,1,3,19,0,5,1,Clear,0.66,0.6212,0.5,0.194,213,473,686,Evening Peak
10626,2012-03-23,Summer,1,3,20,0,5,1,Clear,0.66,0.6212,0.47,0.1343,117,328,445,Evening Peak
10627,2012-03-23,Summer,1,3,21,0,5,1,Clear,0.62,0.6212,0.53,0.1045,64,220,284,Off-peak/Night
10628,2012-03-23,Summer,1,3,22,0,5,1,Clear,0.6,0.6061,0.64,0.2836,53,218,271,Off-peak/Night
10629,2012-03-23,Summer,1,3,23,0,5,1,Clear,0.6,0.5909,0.69,0.2537,51,125,176,Off-peak/Night
10630,2012-03-24,Summer,1,3,0,0,6,0,Clear,0.58,0.5455,0.68,0.0,45,111,156,Off-peak/Night
10631,2012-03-24,Summer,1,3,1,0,6,0,Clear,0.56,0.5303,0.73,0.0896,20,108,128,Off-peak/Night
10632,2012-03-24,Summer,1,3,2,0,6,0,Clear,0.54,0.5152,0.77,0.1045,14,55,69,Off-peak/Night
10633,2012-03-24,Summer,1,3,3,0,6,0,Clear,0.54,0.5152,0.77,0.1045,10,22,32,Off-peak/Night
10634,2012-03-24,Summer,1,3,4,0,6,0,Clear,0.52,0.5,0.83,0.0896,1,6,7,Off-peak/Night
10635,2012-03-24,Summer,1,3,5,0,6,0,Cloudy,0.52,0.5,0.83,0.1642,0,4,4,Off-peak/Night
10636,2012-03-24,Summer,1,3,6,0,6,0,Cloudy,0.52,0.5,0.83,0.1642,4,24,28,Morning Peak
10637,2012-03-24,Summer,1,3,7,0,6,0,Cloudy,0.5,0.4848,0.88,0.1343,25,45,70,Morning Peak
10638,2012-03-24,Summer,1,3,8,0,6,0,Cloudy,0.5,0.4848,0.94,0.194,41,113,154,Morning Peak
10639,2012-03-24,Summer,1,3,9,0,6,0,Cloudy,0.52,0.5,0.83,0.1343,96,153,249,Morning Peak
10640,2012-03-24,Summer,1,3,10,0,6,0,Cloudy,0.52,0.5,0.88,0.194,148,197,345,Morning Peak
10641,2012-03-24,Summer,1,3,11,0,6,0,Cloudy,0.5,0.4848,0.94,0.194,98,175,273,Mid-day
10642,2012-03-24,Summer,1,3,12,0,6,0,Light Rain/Snow,0.52,0.5,0.94,0.2239,61,122,183,Mid-day
10643,2012-03-24,Summer,1,3,13,0,6,0,Light Rain/Snow,0.52,0.5,0.94,0.2537,62,134,196,Mid-day
10644,2012-03-24,Summer,1,3,14,0,6,0,Light Rain/Snow,0.52,0.5,0.88,0.3582,63,160,223,Mid-day
10645,2012-03-24,Summer,1,3,15,0,6,0,Light Rain/Snow,0.5,0.4848,0.94,0.4179,118,172,290,Mid-day
10646,2012-03-24,Summer,1,3,16,0,6,0,Light Rain/Snow,0.5,0.4848,0.94,0.2985,49,128,177,Evening Peak
10647,2012-03-24,Summer,1,3,17,0,6,0,Light Rain/Snow,0.5,0.4848,0.88,0.2239,47,68,115,Evening Peak
10648,2012-03-24,Summer,1,3,18,0,6,0,Light Rain/Snow,0.46,0.4545,0.94,0.2239,27,110,137,Evening Peak
10649,2012-03-24,Summer,1,3,19,0,6,0,Light Rain/Snow,0.46,0.4545,0.94,0.1343,28,105,133,Evening Peak
10650,2012-03-24,Summer,1,3,20,0,6,0,Light Rain/Snow,0.44,0.4394,1.0,0.194,31,80,111,Evening Peak
10651,2012-03-24,Summer,1,3,21,0,6,0,Light Rain/Snow,0.44,0.4394,1.0,0.194,16,88,104,Off-peak/Night
10652,2012-03-24,Summer,1,3,22,0,6,0,Light Rain/Snow,0.44,0.4394,1.0,0.2537,12,71,83,Off-peak/Night
10653,2012-03-24,Summer,1,3,23,0,6,0,Cloudy,0.44,0.4394,0.94,0.2836,17,88,105,Off-peak/Night
10654,2012-03-25,Summer,1,3,0,0,0,0,Cloudy,0.44,0.4394,0.94,0.2836,18,62,80,Off-peak/Night
10655,2012-03-25,Summer,1,3,1,0,0,0,Cloudy,0.42,0.4242,1.0,0.2537,24,65,89,Off-peak/Night
10656,2012-03-25,Summer,1,3,2,0,0,0,Light Rain/Snow,0.42,0.4242,1.0,0.2985,6,29,35,Off-peak/Night
10657,2012-03-25,Summer,1,3,3,0,0,0,Light Rain/Snow,0.42,0.4242,0.94,0.2985,8,10,18,Off-peak/Night
10658,2012-03-25,Summer,1,3,4,0,0,0,Cloudy,0.42,0.4242,0.94,0.3284,1,7,8,Off-peak/Night
10659,2012-03-25,Summer,1,3,5,0,0,0,Cloudy,0.4,0.4091,1.0,0.2537,0,6,6,Off-peak/Night
10660,2012-03-25,Summer,1,3,6,0,0,0,Cloudy,0.4,0.4091,1.0,0.2537,5,13,18,Morning Peak
10661,2012-03-25,Summer,1,3,7,0,0,0,Cloudy,0.4,0.4091,0.94,0.3284,14,25,39,Morning Peak
10662,2012-03-25,Summer,1,3,8,0,0,0,Cloudy,0.4,0.4091,0.94,0.3284,21,68,89,Morning Peak
10663,2012-03-25,Summer,1,3,9,0,0,0,Cloudy,0.4,0.4091,0.94,0.2537,26,92,118,Morning Peak
10664,2012-03-25,Summer,1,3,10,0,0,0,Cloudy,0.4,0.4091,0.87,0.3284,78,172,250,Morning Peak
10665,2012-03-25,Summer,1,3,11,0,0,0,Cloudy,0.4,0.4091,0.94,0.2537,106,217,323,Mid-day
10666,2012-03-25,Summer,1,3,12,0,0,0,Cloudy,0.4,0.4091,0.94,0.2239,122,238,360,Mid-day
10667,2012-03-25,Summer,1,3,13,0,0,0,Cloudy,0.42,0.4242,0.88,0.1642,110,257,367,Mid-day
10668,2012-03-25,Summer,1,3,14,0,0,0,Cloudy,0.44,0.4394,0.88,0.1642,123,291,414,Mid-day
10669,2012-03-25,Summer,1,3,15,0,0,0,Cloudy,0.44,0.4394,0.88,0.194,139,282,421,Mid-day
10670,2012-03-25,Summer,1,3,16,0,0,0,Clear,0.48,0.4697,0.77,0.0,153,339,492,Evening Peak
10671,2012-03-25,Summer,1,3,17,0,0,0,Clear,0.5,0.4848,0.72,0.0896,146,273,419,Evening Peak
10672,2012-03-25,Summer,1,3,18,0,0,0,Clear,0.5,0.4848,0.72,0.0896,202,289,491,Evening Peak
10673,2012-03-25,Summer,1,3,19,0,0,0,Clear,0.5,0.4848,0.72,0.2537,114,261,375,Evening Peak
10674,2012-03-25,Summer,1,3,20,0,0,0,Clear,0.48,0.4697,0.77,0.2239,63,196,259,Evening Peak
10675,2012-03-25,Summer,1,3,21,0,0,0,Clear,0.48,0.4697,0.77,0.1642,25,124,149,Off-peak/Night
10676,2012-03-25,Summer,1,3,22,0,0,0,Clear,0.46,0.4545,0.82,0.1343,19,92,111,Off-peak/Night
10677,2012-03-25,Summer,1,3,23,0,0,0,Clear,0.48,0.4697,0.82,0.1343,9,56,65,Off-peak/Night
10678,2012-03-26,Summer,1,3,0,0,1,1,Cloudy,0.48,0.4697,0.82,0.1642,10,23,33,Off-peak/Night
10679,2012-03-26,Summer,1,3,1,0,1,1,Clear,0.48,0.4697,0.82,0.2537,18,10,28,Off-peak/Night
10680,2012-03-26,Summer,1,3,2,0,1,1,Clear,0.46,0.4545,0.88,0.2239,14,6,20,Off-peak/Night
10681,2012-03-26,Summer,1,3,3,0,1,1,Clear,0.46,0.4545,0.82,0.194,0,1,1,Off-peak/Night
10682,2012-03-26,Summer,1,3,4,0,1,1,Clear,0.44,0.4394,0.82,0.1642,0,4,4,Off-peak/Night
10683,2012-03-26,Summer,1,3,5,0,1,1,Clear,0.44,0.4394,0.77,0.1642,0,36,36,Off-peak/Night
10684,2012-03-26,Summer,1,3,6,0,1,1,Clear,0.42,0.4242,0.82,0.194,7,110,117,Morning Peak
10685,2012-03-26,Summer,1,3,7,0,1,1,Clear,0.44,0.4394,0.72,0.194,15,355,370,Morning Peak
10686,2012-03-26,Summer,1,3,8,0,1,1,Clear,0.44,0.4394,0.62,0.2239,32,625,657,Morning Peak
10687,2012-03-26,Summer,1,3,9,0,1,1,Clear,0.46,0.4545,0.47,0.2836,37,245,282,Morning Peak
10688,2012-03-26,Summer,1,3,10,0,1,1,Clear,0.5,0.4848,0.36,0.5821,55,98,153,Morning Peak
10689,2012-03-26,Summer,1,3,11,0,1,1,Clear,0.48,0.4697,0.31,0.5821,47,131,178,Mid-day
10690,2012-03-26,Summer,1,3,12,0,1,1,Clear,0.48,0.4697,0.33,0.5224,63,216,279,Mid-day
10691,2012-03-26,Summer,1,3,13,0,1,1,Clear,0.48,0.4697,0.29,0.6866,79,222,301,Mid-day
10692,2012-03-26,Summer,1,3,14,0,1,1,Clear,0.48,0.4697,0.33,0.4478,58,159,217,Mid-day
10693,2012-03-26,Summer,1,3,15,0,1,1,Clear,0.48,0.4697,0.29,0.6119,66,157,223,Mid-day
10694,2012-03-26,Summer,1,3,16,0,1,1,Clear,0.48,0.4697,0.25,0.6418,60,245,305,Evening Peak
10695,2012-03-26,Summer,1,3,17,0,1,1,Clear,0.46,0.4545,0.24,0.4478,65,599,664,Evening Peak
10696,2012-03-26,Summer,1,3,18,0,1,1,Clear,0.44,0.4394,0.26,0.4478,90,594,684,Evening Peak
10697,2012-03-26,Summer,1,3,19,0,1,1,Clear,0.42,0.4242,0.24,0.3582,41,417,458,Evening Peak
10698,2012-03-26,Summer,1,3,20,0,1,1,Clear,0.4,0.4091,0.26,0.5224,12,209,221,Evening Peak
10699,2012-03-26,Summer,1,3,21,0,1,1,Clear,0.38,0.3939,0.25,0.4925,11,175,186,Off-peak/Night
10700,2012-03-26,Summer,1,3,22,0,1,1,Clear,0.36,0.3333,0.25,0.3582,13,80,93,Off-peak/Night
10701,2012-03-26,Summer,1,3,23,0,1,1,Clear,0.34,0.2879,0.25,0.5224,2,46,48,Off-peak/Night
10702,2012-03-27,Summer,1,3,0,0,2,1,Clear,0.32,0.2879,0.26,0.5224,1,9,10,Off-peak/Night
10703,2012-03-27,Summer,1,3,1,0,2,1,Clear,0.3,0.2727,0.26,0.4627,1,4,5,Off-peak/Night
10704,2012-03-27,Summer,1,3,2,0,2,1,Clear,0.26,0.2273,0.3,0.2985,1,6,7,Off-peak/Night
10705,2012-03-27,Summer,1,3,3,0,2,1,Clear,0.26,0.2273,0.3,0.3284,0,4,4,Off-peak/Night
10706,2012-03-27,Summer,1,3,4,0,2,1,Clear,0.24,0.2121,0.32,0.3582,0,3,3,Off-peak/Night
10707,2012-03-27,Summer,1,3,5,0,2,1,Clear,0.22,0.2121,0.37,0.2836,1,16,17,Off-peak/Night
10708,2012-03-27,Summer,1,3,6,0,2,1,Clear,0.22,0.2273,0.37,0.194,5,96,101,Morning Peak
10709,2012-03-27,Summer,1,3,7,0,2,1,Clear,0.22,0.2273,0.37,0.194,9,277,286,Morning Peak
10710,2012-03-27,Summer,1,3,8,0,2,1,Clear,0.22,0.2121,0.37,0.2985,14,567,581,Morning Peak
10711,2012-03-27,Summer,1,3,9,0,2,1,Clear,0.24,0.2273,0.38,0.194,8,259,267,Morning Peak
10712,2012-03-27,Summer,1,3,10,0,2,1,Clear,0.26,0.2576,0.35,0.2239,20,118,138,Morning Peak
10713,2012-03-27,Summer,1,3,11,0,2,1,Clear,0.3,0.303,0.31,0.1642,34,141,175,Mid-day
10714,2012-03-27,Summer,1,3,12,0,2,1,Clear,0.32,0.3182,0.31,0.1642,34,186,220,Mid-day
10715,2012-03-27,Summer,1,3,13,0,2,1,Clear,0.36,0.3485,0.27,0.0,46,165,211,Mid-day
10716,2012-03-27,Summer,1,3,14,0,2,1,Clear,0.4,0.4091,0.24,0.1343,37,147,184,Mid-day
10717,2012-03-27,Summer,1,3,15,0,2,1,Clear,0.42,0.4242,0.2,0.0,42,158,200,Mid-day
10718,2012-03-27,Summer,1,3,16,0,2,1,Clear,0.42,0.4242,0.2,0.0,38,267,305,Evening Peak
10719,2012-03-27,Summer,1,3,17,0,2,1,Clear,0.44,0.4394,0.16,0.0,72,542,614,Evening Peak
10720,2012-03-27,Summer,1,3,18,0,2,1,Clear,0.42,0.4242,0.17,0.0896,67,577,644,Evening Peak
10721,2012-03-27,Summer,1,3,19,0,2,1,Clear,0.42,0.4242,0.17,0.0,40,377,417,Evening Peak
10722,2012-03-27,Summer,1,3,20,0,2,1,Clear,0.42,0.4242,0.17,0.0896,28,266,294,Evening Peak
10723,2012-03-27,Summer,1,3,21,0,2,1,Clear,0.36,0.3485,0.37,0.1642,21,200,221,Off-peak/Night
10724,2012-03-27,Summer,1,3,22,0,2,1,Clear,0.36,0.3485,0.37,0.1343,7,127,134,Off-peak/Night
10725,2012-03-27,Summer,1,3,23,0,2,1,Clear,0.36,0.3485,0.37,0.194,5,59,64,Off-peak/Night
10726,2012-03-28,Summer,1,3,0,0,3,1,Clear,0.36,0.3333,0.4,0.2836,1,29,30,Off-peak/Night
10727,2012-03-28,Summer,1,3,1,0,3,1,Clear,0.36,0.3333,0.46,0.2985,0,8,8,Off-peak/Night
10728,2012-03-28,Summer,1,3,2,0,3,1,Clear,0.34,0.303,0.49,0.2985,0,3,3,Off-peak/Night
10729,2012-03-28,Summer,1,3,3,0,3,1,Clear,0.34,0.303,0.42,0.3284,1,4,5,Off-peak/Night
10730,2012-03-28,Summer,1,3,4,0,3,1,Clear,0.36,0.3333,0.43,0.2985,1,0,1,Off-peak/Night
10731,2012-03-28,Summer,1,3,5,0,3,1,Clear,0.36,0.3333,0.43,0.2985,2,38,40,Off-peak/Night
10732,2012-03-28,Summer,1,3,6,0,3,1,Clear,0.36,0.3333,0.46,0.3582,4,111,115,Morning Peak
10733,2012-03-28,Summer,1,3,7,0,3,1,Clear,0.36,0.3333,0.46,0.3284,10,348,358,Morning Peak
10734,2012-03-28,Summer,1,3,8,0,3,1,Clear,0.38,0.3939,0.46,0.3582,19,639,658,Morning Peak
10735,2012-03-28,Summer,1,3,9,0,3,1,Clear,0.4,0.4091,0.43,0.4478,16,298,314,Morning Peak
10736,2012-03-28,Summer,1,3,10,0,3,1,Clear,0.46,0.4545,0.41,0.4179,33,140,173,Morning Peak
10737,2012-03-28,Summer,1,3,11,0,3,1,Clear,0.5,0.4848,0.42,0.3881,54,168,222,Mid-day
10738,2012-03-28,Summer,1,3,12,0,3,1,Cloudy,0.54,0.5152,0.39,0.3582,50,218,268,Mid-day
10739,2012-03-28,Summer,1,3,13,0,3,1,Clear,0.56,0.5303,0.43,0.3284,60,213,273,Mid-day
10740,2012-03-28,Summer,1,3,14,0,3,1,Clear,0.62,0.6212,0.38,0.3582,52,169,221,Mid-day
10741,2012-03-28,Summer,1,3,15,0,3,1,Cloudy,0.62,0.6212,0.41,0.2985,47,152,199,Mid-day
10742,2012-03-28,Summer,1,3,16,0,3,1,Light Rain/Snow,0.62,0.6212,0.43,0.0896,51,170,221,Evening Peak
10743,2012-03-28,Summer,1,3,17,0,3,1,Clear,0.6,0.6061,0.6,0.2239,72,532,604,Evening Peak
10744,2012-03-28,Summer,1,3,18,0,3,1,Clear,0.6,0.6061,0.6,0.2239,61,580,641,Evening Peak
10745,2012-03-28,Summer,1,3,19,0,3,1,Clear,0.6,0.6212,0.56,0.194,41,415,456,Evening Peak
10746,2012-03-28,Summer,1,3,20,0,3,1,Clear,0.6,0.6212,0.56,0.2985,38,324,362,Evening Peak
10747,2012-03-28,Summer,1,3,21,0,3,1,Clear,0.58,0.5455,0.6,0.2537,28,233,261,Off-peak/Night
10748,2012-03-28,Summer,1,3,22,0,3,1,Clear,0.56,0.5303,0.64,0.1343,21,151,172,Off-peak/Night
10749,2012-03-28,Summer,1,3,23,0,3,1,Clear,0.54,0.5152,0.68,0.1343,12,81,93,Off-peak/Night
10750,2012-03-29,Summer,1,3,0,0,4,1,Clear,0.54,0.5152,0.68,0.194,10,38,48,Off-peak/Night
10751,2012-03-29,Summer,1,3,1,0,4,1,Clear,0.56,0.5303,0.6,0.1343,15,18,33,Off-peak/Night
10752,2012-03-29,Summer,1,3,2,0,4,1,Clear,0.6,0.6061,0.28,0.2985,0,6,6,Off-peak/Night
10753,2012-03-29,Summer,1,3,3,0,4,1,Clear,0.58,0.5455,0.28,0.2537,1,4,5,Off-peak/Night
10754,2012-03-29,Summer,1,3,4,0,4,1,Clear,0.52,0.5,0.36,0.2537,1,8,9,Off-peak/Night
10755,2012-03-29,Summer,1,3,5,0,4,1,Clear,0.5,0.4848,0.45,0.2239,2,30,32,Off-peak/Night
10756,2012-03-29,Summer,1,3,6,0,4,1,Clear,0.46,0.4545,0.59,0.2537,3,114,117,Morning Peak
10757,2012-03-29,Summer,1,3,7,0,4,1,Clear,0.46,0.4545,0.51,0.3582,14,353,367,Morning Peak
10758,2012-03-29,Summer,1,3,8,0,4,1,Clear,0.46,0.4545,0.47,0.4179,26,628,654,Morning Peak
10759,2012-03-29,Summer,1,3,9,0,4,1,Clear,0.48,0.4697,0.48,0.4179,22,299,321,Morning Peak
10760,2012-03-29,Summer,1,3,10,0,4,1,Clear,0.46,0.4545,0.47,0.4478,42,124,166,Morning Peak
10761,2012-03-29,Summer,1,3,11,0,4,1,Clear,0.5,0.4848,0.45,0.4179,54,166,220,Mid-day
10762,2012-03-29,Summer,1,3,12,0,4,1,Clear,0.5,0.4848,0.42,0.4925,64,228,292,Mid-day
10763,2012-03-29,Summer,1,3,13,0,4,1,Clear,0.46,0.4545,0.44,0.3284,50,223,273,Mid-day
10764,2012-03-29,Summer,1,3,14,0,4,1,Clear,0.5,0.4848,0.42,0.3582,63,175,238,Mid-day
10765,2012-03-29,Summer,1,3,15,0,4,1,Clear,0.52,0.5,0.39,0.3582,109,198,307,Mid-day
10766,2012-03-29,Summer,1,3,16,0,4,1,Clear,0.52,0.5,0.36,0.3284,67,321,388,Evening Peak
10767,2012-03-29,Summer,1,3,17,0,4,1,Clear,0.52,0.5,0.38,0.3881,83,620,703,Evening Peak
10768,2012-03-29,Summer,1,3,18,0,4,1,Clear,0.5,0.4848,0.39,0.2985,83,598,681,Evening Peak
10769,2012-03-29,Summer,1,3,19,0,4,1,Clear,0.48,0.4697,0.39,0.2836,47,421,468,Evening Peak
10770,2012-03-29,Summer,1,3,20,0,4,1,Clear,0.46,0.4545,0.38,0.2985,34,301,335,Evening Peak
10771,2012-03-29,Summer,1,3,21,0,4,1,Clear,0.44,0.4394,0.44,0.2836,10,214,224,Off-peak/Night
10772,2012-03-29,Summer,1,3,22,0,4,1,Clear,0.42,0.4242,0.44,0.2836,17,135,152,Off-peak/Night
10773,2012-03-29,Summer,1,3,23,0,4,1,Clear,0.42,0.4242,0.47,0.2985,17,77,94,Off-peak/Night
10774,2012-03-30,Summer,1,3,0,0,5,1,Clear,0.4,0.4091,0.47,0.2985,10,49,59,Off-peak/Night
10775,2012-03-30,Summer,1,3,1,0,5,1,Clear,0.38,0.3939,0.5,0.2836,6,21,27,Off-peak/Night
10776,2012-03-30,Summer,1,3,2,0,5,1,Clear,0.36,0.3333,0.53,0.2985,1,6,7,Off-peak/Night
10777,2012-03-30,Summer,1,3,3,0,5,1,Clear,0.34,0.3333,0.61,0.1343,0,7,7,Off-peak/Night
10778,2012-03-30,Summer,1,3,4,0,5,1,Clear,0.34,0.3485,0.53,0.0896,1,1,2,Off-peak/Night
10779,2012-03-30,Summer,1,3,5,0,5,1,Clear,0.32,0.3333,0.61,0.0896,0,26,26,Off-peak/Night
10780,2012-03-30,Summer,1,3,6,0,5,1,Clear,0.32,0.3333,0.57,0.1343,5,81,86,Morning Peak
10781,2012-03-30,Summer,1,3,7,0,5,1,Clear,0.32,0.3182,0.57,0.1642,9,280,289,Morning Peak
10782,2012-03-30,Summer,1,3,8,0,5,1,Clear,0.32,0.3182,0.66,0.1642,38,555,593,Morning Peak
10783,2012-03-30,Summer,1,3,9,0,5,1,Clear,0.34,0.3333,0.57,0.1642,29,292,321,Morning Peak
10784,2012-03-30,Summer,1,3,10,0,5,1,Cloudy,0.36,0.3636,0.57,0.1045,50,137,187,Morning Peak
10785,2012-03-30,Summer,1,3,11,0,5,1,Cloudy,0.36,0.3788,0.53,0.0,48,153,201,Mid-day
